course_title,domain,level,course_type,schedule,course_url,duration,rating
Computer Science: Programming with a Purpose,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/cs-programming-java,Approx. 88 hours to complete,4.7
"Python for Data Science, AI & Development",Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-for-applied-data-science-ai,26 hours (approximately),4.6
Learn to Program: The Fundamentals,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/learn-to-program,Approx. 25 hours to complete,4.7
Google Data Analytics Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/google-data-analytics,6 months at 10 hours a week,4.8
Crash Course on Python,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-crash-course,39 hours (approximately),4.8
Google IT Support Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/google-it-support,6 months at 10 hours a week,4.8
"HTML, CSS, and Javascript for Web Developers",Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/html-css-javascript-for-web-developers,Approx. 40 hours to complete,4.7
Fundamentals of Computing Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/computer-fundamentals,2 months at 10 hours a week,4.8
Accelerated Computer Science Fundamentals Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/cs-fundamentals,2 months at 10 hours a week,4.7
Computational Thinking for Problem Solving,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computational-thinking-problem-solving,Approx. 17 hours to complete,4.7
Python for Everybody Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/python,2 months at 10 hours a week,4.8
Algorithms Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/algorithms,2 months at 10 hours a week,4.8
How Computers Work,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/how-computers-work,10 hours (approximately),4.6
"Programming Languages, Part A",Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/programming-languages,Approx. 29 hours to complete,4.9
Foundations of Computer Science,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computer-science-foundations,15 hours (approximately),4.6
Google IT Automation with Python Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/google-it-automation,6 months at 10 hours a week,4.8
Introductory C Programming Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/c-programming,5 months at 10 hours a week,4.6
Meta Back-End Developer Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/meta-back-end-developer,8 months at 6 hours a week,4.7
