organizations,course_title
['Princeton University'],Computer Science: Programming with a Purpose
['IBM'],"Python for Data Science, AI & Development"
['University of Toronto'],Learn to Program: The Fundamentals
['Google'],Google Data Analytics Professional Certificate
['Google'],Crash Course on Python
['Google'],Google IT Support Professional Certificate
['Johns Hopkins University'],"HTML, CSS, and Javascript for Web Developers"
['Rice University'],Fundamentals of Computing Specialization
['University of Illinois at Urbana-Champaign'],Accelerated Computer Science Fundamentals Specialization
['University of Pennsylvania'],Computational Thinking for Problem Solving
['University of Michigan'],Python for Everybody Specialization
['Stanford University'],Algorithms Specialization
"['University of London', 'Goldsmiths, University of London']",How Computers Work
['University of Washington'],"Programming Languages, Part A"
['LearnQuest'],Foundations of Computer Science
['Google'],Google IT Automation with Python Professional Certificate
['Duke University'],Introductory C Programming Specialization
['Meta'],Meta Back-End Developer Professional Certificate
['Yonsei University'],Introduction to TCP/IP
['The University of Tokyo'],Interactive Computer Graphics
['Coursera Project Network'],Get Started with Figma
['Stanford University'],Introduction to Mathematical Thinking
['University of Minnesota'],Software Testing and Automation Specialization
['Microsoft'],Microsoft 365 Fundamentals Specialization
['IBM'],Information Technology (IT) Fundamentals for Everyone
['Duke University'],Programming Fundamentals
['Google'],Foundations of Cybersecurity
['Coursera Project Network'],Introduction to Python
['The University of Sydney'],Introduction to Calculus
['Stanford University'],Introduction to Statistics
"['University of Maryland, College Park']",Cybersecurity for Everyone
"['University of California, Irvine']",An Introduction to Programming the Internet of Things (IOT) Specialization
['Duke University'],Introduction to Machine Learning
['University of Washington'],Computational Neuroscience
['Duke University'],Python and Pandas for Data Engineering
['Coursera Project Network'],Build a Full Website using WordPress
['Infosec'],Cybersecurity Foundations Specialization
['Codio'],Programming in C++: A Hands-on Introduction Specialization
['The Hong Kong University of Science and Technology'],Mathematics for Engineers Specialization
['The Hong Kong University of Science and Technology'],Introduction to Computers and Office Productivity Software
['IBM'],Introduction to Data Analytics
['SAS'],SAS Programmer Professional Certificate
['IBM'],Information Technology (IT) and Cloud Fundamentals Specialization
['IBM'],IBM Data Engineering Professional Certificate
['University of Michigan'],Python Data Structures
['Stanford University'],Cryptography I
"['University of California, Irvine']",Computer Hardware and Software
['University of Michigan'],Web Applications for Everybody Specialization
['Codio'],C++ Basics: Selection and Iteration
['IBM'],IBM Back-end JavaScript Developer Professional Certificate
['Meta'],Introduction to Back-End Development
['University of Alberta'],"Problem Solving, Python Programming, and Video Games"
['Johns Hopkins University'],Data Science: Statistics and Machine Learning Specialization
['IBM'],Developing Front-End Apps with React
['MathWorks'],Practical Data Science with MATLAB Specialization
['Duke University'],AI Product Management Specialization
['University of Colorado Boulder'],Data Science Foundations: Statistical Inference Specialization
['University of Illinois at Urbana-Champaign'],Accounting Data Analytics Specialization
['University of Colorado System'],Clinical Data Science Specialization
['Duke University'],Python Programming Fundamentals
['Johns Hopkins University'],R Programming
['Coursera Project Network'],Getting Started with R
['Google Cloud'],Introduction to APIs in Google
['University of Colorado Boulder'],Advanced Embedded Linux Development Specialization
['Coursera Project Network'],Start Your API Testing Journey With Postman Tool
['University of Michigan'],Web Design for Everybody: Basics of Web Development & Coding Specialization
['LearnQuest'],Introduction to Java
['Korea Advanced Institute of Science and Technology(KAIST)'],Introduction to Quantum Information
['University of Colorado Boulder'],Business Writing
['Stanford University'],"Divide and Conquer, Sorting and Searching, and Randomized Algorithms"
['EDHEC Business School'],Investment Management with Python and Machine Learning Specialization
['SAS'],SAS Advanced Programmer Professional Certificate
['IBM'],IBM Data Analytics with Excel and R Professional Certificate
['The University of Edinburgh'],Introduction to Philosophy
['University of Illinois at Urbana-Champaign'],Object-Oriented Data Structures in C++
['Google'],"Assets, Threats, and Vulnerabilities"
['Google'],Get Started with Python
['Meta'],APIs
"['IBM', 'SkillUp EdTech']",IBM Business Intelligence (BI) Analyst Professional Certificate
['Korea Advanced Institute of Science and Technology(KAIST)'],Supply Chain Management: A Learning Perspective
['University of Michigan'],PostgreSQL for Everybody Specialization
['University of Leeds'],An Introduction to Programming using Python
['University of Michigan'],Programming for Everybody (Getting Started with Python)
['Google Cloud'],Google Workspace Mail Management
['University of Colorado Boulder'],Graphic Design
['Atlassian'],Agile with Atlassian Jira
['Stanford University'],Introduction to Logic
['Coursera Project Network'],Introduction to Github and Visual Studio Code
['Vanderbilt University'],Data Management for Clinical Research
['IBM'],Google Chrome Security and Extensions for Beginners
['University of Leeds'],Fundamental Skills in Engineering Design
['University of Toronto'],Communication Strategies for a Virtual Age
['The University of Edinburgh'],AstroTech: The Science and Technology behind Astronomical Discovery
['Whizlabs'],Exam Prep MLS-C01: AWS Certified Specialty Machine Learning Specialization
['Pohang University of Science and Technology(POSTECH)'],Introduction and Programming with IoT Boards
['Hebrew University of Jerusalem'],Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)
['DeepLearning.AI'],Neural Networks and Deep Learning
['University of Illinois at Urbana-Champaign'],Introduction to Business Analytics and Information Economics Specialization
['University of Colorado Boulder'],Data Mining Foundations and Practice Specialization
['University of California San Diego'],Object Oriented Programming in Java
['Johns Hopkins University'],Data Visualization & Dashboarding with R Specialization
['Ball State University'],Introduction to Programming
['University of Toronto'],Learn to Program: Crafting Quality Code
['The State University of New York'],International Cyber Conflicts
['The University of Chicago'],Software Defined Networking
['Juniper Networks'],Introduction to Junos OS Specialization
['Meta'],Introduction to Front-End Development
"['Birla Institute of Technology & Science, Pilani']",Introduction to Programming
['University of Colorado Boulder'],Introduction to FPGA Design for Embedded Systems
['University of Pennsylvania'],Data Analysis Using Python
['Vanderbilt University'],Programming for a Networked World
['Codio'],Advanced Django: Mastering Django and Django Rest Framework Specialization
['The University of Edinburgh'],Digital Footprint
['University of Michigan'],Introduction to Data Science in Python
"['DeepLearning.AI', 'Stanford University']",Advanced Learning Algorithms
['University of Colorado Boulder'],Introduction to Robotics with Webots Specialization
['Meta'],The Full Stack
['Johns Hopkins University'],Getting Started with Data Visualization in R
['Lund University'],AI & Law
['Johns Hopkins University'],Precalculus: Relations and Functions
['Microsoft'],Explore Core Data Concepts in Microsoft Azure
['University of Illinois at Urbana-Champaign'],Introduction to Accounting Data Analytics and Visualization
['Advancing Women in Tech'],Real-World Cloud Product Management Specialization
['IBM'],Data Analysis with Python
['Meta'],Coding Interview Preparation
"['University of California, Santa Cruz']","C++ For C Programmers, Part A"
