skills,modules
Programming Principles,BASIC PROGRAMMING CONCEPTS
Programming Principles,BASIC PROGRAMMING CONCEPTS
Programming Principles,BASIC PROGRAMMING CONCEPTS
Programming Principles,BASIC PROGRAMMING CONCEPTS
Computer Science,CONDITIONALS AND LOOPS
Computer Science,CONDITIONALS AND LOOPS
Computer Science,CONDITIONALS AND LOOPS
Computer Science,CONDITIONALS AND LOOPS
Computer Science,CONDITIONALS AND LOOPS
Algorithms,ARRAYS
Algorithms,ARRAYS
Algorithms,ARRAYS
Java Programming,INPUT AND OUTPUT
Java Programming,INPUT AND OUTPUT
Java Programming,INPUT AND OUTPUT
Java Programming,INPUT AND OUTPUT
,FUNCTIONS AND LIBRARIES
,FUNCTIONS AND LIBRARIES
,FUNCTIONS AND LIBRARIES
,FUNCTIONS AND LIBRARIES
,RECURSION
,RECURSION
,RECURSION
,RECURSION
,RECURSION
,PERFORMANCE
,PERFORMANCE
,PERFORMANCE
,PERFORMANCE
,PERFORMANCE
,ABSTRACT DATA TYPES
,ABSTRACT DATA TYPES
,ABSTRACT DATA TYPES
,ABSTRACT DATA TYPES
,CREATING DATA TYPES
,CREATING DATA TYPES
,CREATING DATA TYPES
,CREATING DATA TYPES
,PROGRAMMING LANGUAGES
,PROGRAMMING LANGUAGES
,PROGRAMMING LANGUAGES
,PROGRAMMING LANGUAGES
,PROGRAMMING LANGUAGES
Data Science,Python Basics 
Data Science,Python Basics 
Data Science,Python Basics 
Data Analysis,Python Data Structures 
Data Analysis,Python Data Structures 
Data Analysis,Python Data Structures 
Python Programming,Python Programming Fundamentals 
Python Programming,Python Programming Fundamentals 
Python Programming,Python Programming Fundamentals 
Python Programming,Python Programming Fundamentals 
Python Programming,Python Programming Fundamentals 
Numpy,Working with Data in Python 
Numpy,Working with Data in Python 
Numpy,Working with Data in Python 
Numpy,Working with Data in Python 
Numpy,Working with Data in Python 
Numpy,Working with Data in Python 
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Pandas,"APIs, and Data Collection"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Python Syntax And Semantics,"Python, Variables, and Functions"
Computer Programming,Strings and Designing Functions
Computer Programming,Strings and Designing Functions
Computer Programming,Strings and Designing Functions
Computer Programming,Strings and Designing Functions
Computer Programming,Strings and Designing Functions
Computer Programming,Strings and Designing Functions
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Python Programming,"Booleans, Import, Namespaces, and if Statements"
Idle (Python),For Loops and Fancy String Manipulation
Idle (Python),For Loops and Fancy String Manipulation
Idle (Python),For Loops and Fancy String Manipulation
Idle (Python),For Loops and Fancy String Manipulation
Idle (Python),For Loops and Fancy String Manipulation
,"While Loops, Lists, and Mutability"
,"While Loops, Lists, and Mutability"
,"While Loops, Lists, and Mutability"
,"While Loops, Lists, and Mutability"
,"While Loops, Lists, and Mutability"
,"While Loops, Lists, and Mutability"
,"For Loops Over Indices, Parallel and Nested Lists and Strings, and Files"
,"For Loops Over Indices, Parallel and Nested Lists and Strings, and Files"
,"For Loops Over Indices, Parallel and Nested Lists and Strings, and Files"
,"For Loops Over Indices, Parallel and Nested Lists and Strings, and Files"
